City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
325,bredy,52.4153,60.3411,68.09,78,0,7.02,RU,1624756278
326,lata,40.1629,-8.3327,62.04,99,52,2.24,PT,1624755988
327,uvat,59.1433,68.8953,59.31,84,100,2.1,RU,1624756279
328,sao joao da barra,-21.6403,-41.0511,70.95,74,12,12.77,BR,1624756279
329,grindavik,63.8424,-22.4338,46.87,100,90,14.97,IS,1624756280
330,sobolevo,54.4299,31.8996,61.77,91,91,4.0,RU,1624756280
331,namatanai,-3.6667,152.4333,85.1,66,50,3.94,PG,1624756280
332,bara,10.3744,10.7288,72.68,87,100,13.29,NG,1624755856
333,marsh harbour,26.5412,-77.0636,81.14,72,29,17.56,BS,1624756281
334,buala,-8.145,159.5921,83.89,72,100,7.61,SB,1624755987
335,cheremukhovo,60.3484,59.9851,58.89,87,64,1.07,RU,1624756281
336,geraldton,-28.7667,114.6,52.21,66,18,21.85,AU,1624756281
337,moranbah,-22.0016,148.0466,54.63,70,99,16.91,AU,1624756282
338,karlskrona,56.1616,15.5866,59.45,92,20,9.31,SE,1624756282
339,broken hill,-31.95,141.4333,52.68,54,0,2.04,AU,1624755844
340,winton,37.3894,-120.6133,104.34,25,1,9.22,US,1624756283
341,north bend,43.4065,-124.2243,86.23,77,1,11.5,US,1624756283
342,codo,-4.4553,-43.8856,74.46,78,39,2.8,BR,1624756283
343,yeniseysk,58.4497,92.1703,54.5,88,95,5.68,RU,1624756284
344,flinders,-34.5833,150.8552,63.05,51,0,5.99,AU,1624756284
345,hobyo,5.3505,48.5268,76.93,86,99,23.6,SO,1624756284
346,niquero,20.0431,-77.5828,79.57,76,33,4.0,CU,1624756285
347,chizhou,30.6578,117.4831,76.28,98,100,2.86,CN,1624756285
348,zapolyarnyy,69.4154,30.8136,47.48,85,100,9.71,RU,1624756285
349,vertientes,21.2594,-78.1464,79.41,89,8,9.17,CU,1624756286
350,santa maria,-29.6842,-53.8069,57.27,98,100,10.56,BR,1624756286
351,lajoskomarom,46.842,18.3376,66.47,73,54,4.65,HU,1624756286
352,tshane,-24.0196,21.8684,47.53,46,0,7.92,BW,1624756287
353,sault sainte marie,46.5168,-84.3333,70.09,83,90,0.0,CA,1624756287
354,bombay,19.0144,72.8479,84.18,84,40,8.05,IN,1624756009
355,wagar,16.1525,36.2032,83.46,44,28,14.58,SD,1624756287
356,miri,4.4148,114.0089,80.51,85,59,3.36,MY,1624756288
357,albacete,38.8333,-2.0,69.19,63,0,8.05,ES,1624756288
358,kavieng,-2.5744,150.7967,84.34,69,99,6.82,PG,1624756288
359,gigmoto,13.7796,124.39,86.22,67,98,5.12,PH,1624756289
360,goundam,16.4145,-3.6708,92.89,26,95,8.75,ML,1624756289
361,brumado,-14.2036,-41.6653,69.01,73,78,7.94,BR,1624756289
362,aripuana,-9.1667,-60.6333,75.9,73,55,1.74,BR,1624756290
363,sola,-13.8833,167.55,79.83,70,44,21.34,VU,1624756290
364,wanning,18.8003,110.3967,86.5,74,100,13.06,CN,1624756290
